epoch,learning_rate,train_loss,test_loss
1,0.004,0.1515401330205702,0.10472374402203606
2,0.003996,0.08075721602766744,0.0795697538019384
3,0.003992004,0.06217746506294897,0.0543929201740663
4,0.003988011996,0.041663852237886,0.037138811809924045
5,0.003984023984004,0.02786882057665817,0.023506523444525248
6,0.003980039960019996,0.016028242119618,0.012521073791804244
7,0.003976059920059976,0.008780178526837018,0.006362351380939622
8,0.003972083860139916,0.004693276735563432,0.003435466171793857
9,0.003968111776279776,0.0033009257663281695,0.0022765515571080367
10,0.003964143664503496,0.0025439516776391575,0.0018414999313146165
11,0.003960179520838993,0.002115249753959717,0.0013935431991749017
12,0.003956219341318154,0.0018007008013345542,0.0012058515680357092
13,0.003952263121976836,0.0016725219110207213,0.001118567975653896
14,0.003948310858854859,0.0016235237009823323,0.0010721433446606965
15,0.003944362547996004,0.0015582913502810462,0.0010059413418752475
16,0.003940418185448008,0.0015029435586785117,0.0009830349432394922
17,0.00393647776726256,0.0014673697153827355,0.0008843350936251792
18,0.003932541289495298,0.0014187370637251484,0.0008662501327440287
19,0.003928608748205802,0.0013403271880721853,0.0008061765195819938
20,0.003924680139457596,0.001305575737158858,0.0007691260571908025
21,0.003920755459318139,0.0012822484980607705,0.0007299519103309772
22,0.003916834703858821,0.0012395343818371333,0.0007197551239390397
23,0.003912917869154962,0.0012235207498193749,0.0006573549053604597
24,0.003909004951285807,0.0011811869992544093,0.000631653126758677
25,0.0039050959463345206,0.0011449246524622844,0.0006154123241606268
26,0.003901190850388186,0.0011227974322654548,0.0005703405680550823
27,0.0038972896595377985,0.0011001408663428118,0.0005353117074582327
28,0.0038933923698782607,0.001058913107901331,0.0005181657243067923
29,0.0038894989775083823,0.001025207164967733,0.0004867930112189604
30,0.0038856094785308737,0.001008120752991207,0.00044908940801125706
31,0.0038817238690523432,0.000984075955761176,0.00042648741735814557
32,0.0038778421451832906,0.0009555047423007988,0.00040912397264602406
33,0.003873964303038107,0.0009236117704741416,0.0003779912084901651
34,0.003870090338735069,0.0009123501390398991,0.00036154695203328887
35,0.003866220248396334,0.000877378688704583,0.0003354881790656488
36,0.0038623540281479377,0.0008685265983184499,0.0003448946828709789
37,0.00385849167411979,0.0008423793790561537,0.0002984184550248014
38,0.00385463318244567,0.0008296662712499739,0.00028887439803988897
39,0.0038507785492632243,0.0008226353922979005,0.0002743863676973049
40,0.003846927770713961,0.0007969566234087031,0.00025528790858727924
41,0.0038430808429432473,0.0007927735520136212,0.0002536678876619316
42,0.003839237762100304,0.0007756838815346841,0.00023399378643235535
43,0.0038353985243382038,0.0007819764943222605,0.0002363612185892405
44,0.003831563125813865,0.0007679098173074665,0.0002229990283913404
45,0.003827731562688052,0.0007436956729619734,0.00020474734155515444
46,0.0038239038311253634,0.0007344980153345293,0.00019163503458506417
47,0.003820079927294238,0.0007323167624793225,0.00018794872081449743
48,0.0038162598473669438,0.0007206182446210615,0.0001840848810247426
49,0.0038124435875195773,0.0007163506613353328,0.00017739947629839326
50,0.0038086311439320575,0.0007106787513851398,0.00016685691210034404
51,0.0038048225127881256,0.0007058333905954515,0.00017478442140538426
52,0.003801017690275337,0.0007054247592966403,0.00015631037904401717
53,0.003797216672585062,0.0006980465586116958,0.0001499160657437898
54,0.0037934194559124767,0.0006977077704974481,0.00016470310884048639
55,0.0037896260364565643,0.0006949964771798301,0.00014100552652962506
56,0.0037858364104201075,0.000687546873720543,0.00015002518702406906
57,0.0037820505740096878,0.0006870281172826165,0.0001372923567050218
58,0.0037782685234356776,0.0006818217567108091,0.00012661050298721393
59,0.003774490254912242,0.0006814494128188779,0.0001437756966446861
60,0.00377071576465733,0.0006869932636618614,0.00012142371411155005
61,0.0037669450488926727,0.0006744097629111381,0.0001200860650482072
62,0.0037631781038437798,0.0006723281285244851,0.00011496421925099657
63,0.0037594149257399365,0.0006752286568253992,0.00011727807323394109
64,0.003755655510814196,0.0006737634073942899,0.00010976082480340763
65,0.003751899855303382,0.0006731433981669046,0.00012258349836451337
66,0.003748147955448079,0.0006624459458004322,9.478370882842002e-05
67,0.0037443998074926307,0.0006543778480150767,9.41038172120156e-05
68,0.003740655407685138,0.0006503703643477732,8.760296510197946e-05
69,0.003736914752277453,0.0006501657922091263,8.8927515746248e-05
70,0.0037331778375251754,0.0006465397805215851,9.766245092428064e-05
71,0.00372944465968765,0.0006520487037637541,7.654728878795812e-05
72,0.0037257152150279626,0.0006367802124230131,8.10476036367088e-05
73,0.0037219894998129343,0.0006362672955278427,7.088580428740208e-05
74,0.0037182675103131215,0.0006321816975551267,7.381059146865986e-05
75,0.0037145492428028084,0.0006310345882910394,6.44662564120807e-05
76,0.0037108346935600055,0.0006281089931426029,6.858651338086364e-05
77,0.003707123858866446,0.0006268496921796712,6.0744674874071794e-05
78,0.0037034167350075793,0.0006250967294157994,5.715262092247569e-05
79,0.0036997133182725714,0.000623451094067986,5.926994260149619e-05
80,0.003696013604954299,0.0006207461021990786,5.376479900396854e-05
81,0.0036923175913493446,0.0006188727483423727,5.280403889381119e-05
82,0.0036886252737579955,0.0006179461480989571,5.1584083884185886e-05
83,0.0036849366484842374,0.0006157697411254048,4.831564813870394e-05
84,0.003681251711835753,0.0006149963404412472,4.831998178382739e-05
85,0.0036775704601239175,0.0006154390427494242,4.9995917101273116e-05
86,0.0036738928896637934,0.000612745723581963,4.5426931764559763e-05
87,0.0036702189967741296,0.0006111292697999987,4.347868744641072e-05
