epoch,learning_rate,train_loss,test_loss
1,0.004,0.2398285645631052,0.1506046010452567
2,0.003996,0.10459625278749773,0.09429879009144977
3,0.003992004,0.08111505546877461,0.07902158203634244
4,0.003988011996,0.06469483200100161,0.057552740592690346
5,0.003984023984004,0.045270076394081114,0.04050144097469385
6,0.003980039960019996,0.03194822840873272,0.024999701571696013
7,0.003976059920059976,0.01933071931764003,0.013929787987065546
8,0.003972083860139916,0.010748526279724413,0.006472531118366903
9,0.003968111776279776,0.005691473663694435,0.0031840921497171366
10,0.003964143664503496,0.003242087972560717,0.0019179593807863958
11,0.003960179520838993,0.002410543971364537,0.0016337197038878515
12,0.003956219341318154,0.0021600717423303473,0.0015814957498274382
13,0.003952263121976836,0.0020707571308218663,0.001556677965320719
14,0.003948310858854859,0.0020367241479576598,0.0015460302311818576
15,0.003944362547996004,0.0020154832967466886,0.0015043104383913638
16,0.003940418185448008,0.001967442372152882,0.0014904765253977
17,0.00393647776726256,0.0019497097980591559,0.0014434267938571068
18,0.003932541289495298,0.0019188511553370664,0.0014078510807628193
19,0.003928608748205802,0.0018804674577568808,0.0013807070807743708
20,0.003924680139457596,0.0018417284568591464,0.0013251050954087846
21,0.003920755459318139,0.0017658698913310805,0.0011782918952730963
22,0.003916834703858821,0.001624009612527105,0.0009975806624601478
23,0.003912917869154962,0.001504214986738178,0.000852194632792357
24,0.003909004951285807,0.0013735358287850696,0.0006873688380261069
25,0.0039050959463345206,0.0012268270471043163,0.000582585839138737
26,0.003901190850388186,0.0011423034773718926,0.0004817618427852404
27,0.0038972896595377985,0.0010641075520505829,0.00043486334265942136
28,0.0038933923698782607,0.0010196657333102438,0.0004018927422505849
29,0.0038894989775083823,0.0009354599946809392,0.00037186667413532156
30,0.0038856094785308737,0.0009206864734991423,0.000326886298406182
31,0.0038817238690523432,0.0008959444408725587,0.000305370979228066
32,0.0038778421451832906,0.0008538445450305458,0.00029629397034211063
33,0.003873964303038107,0.0008369449120495589,0.0002691552615995763
34,0.003870090338735069,0.000824876720716636,0.00025018300121939444
35,0.003866220248396334,0.0008110196911729872,0.00023786464956977848
36,0.0038623540281479377,0.0007913461030130425,0.0002394547353688519
37,0.00385849167411979,0.0007783781800929818,0.00022747982219901405
38,0.00385463318244567,0.0007729918557038951,0.00020860359965579458
39,0.0038507785492632243,0.0007584917359054089,0.00019664542853506733
40,0.003846927770713961,0.000749684686982824,0.0001928308050179836
41,0.0038430808429432473,0.0007436437070399764,0.00018332780167026427
42,0.003839237762100304,0.0007387261935359528,0.00019243966536008688
43,0.0038353985243382038,0.0007357626015530719,0.00016354219462424156
44,0.003831563125813865,0.0007274471696526293,0.0001613118287935419
45,0.003827731562688052,0.000722266651404601,0.00015258899346238129
46,0.0038239038311253634,0.0007138123240081533,0.00014293403392974107
47,0.003820079927294238,0.0007157380320882846,0.00013730975005829942
48,0.0038162598473669438,0.0007148687964335324,0.00013586677055923467
49,0.0038124435875195773,0.0007058832276191923,0.00012756473818811978
50,0.0038086311439320575,0.0007008035577112629,0.00014151089886334516
51,0.0038048225127881256,0.0007001009243991106,0.00012958898391004977
52,0.003801017690275337,0.0006922464825273041,0.00012726032441296586
53,0.003797216672585062,0.0006927878299217311,0.00011541799628582684
54,0.0037934194559124767,0.0006879586324606452,0.0001223564975289176
55,0.0037896260364565643,0.0006850314274009678,0.00011689514580105874
56,0.0037858364104201075,0.0006870256549107932,0.00011497920362654061
57,0.0037820505740096878,0.0006816303672929925,9.896180923639354e-05
58,0.0037782685234356776,0.0006801585388940669,9.665467597779284e-05
59,0.003774490254912242,0.0006799667378917577,8.881828130010371e-05
60,0.00377071576465733,0.0006736850448613686,9.26006685103769e-05
61,0.0037669450488926727,0.0006714419138828113,9.666300009714566e-05
62,0.0037631781038437798,0.0006691527154837404,9.149283063891842e-05
63,0.0037594149257399365,0.0006708533059985888,8.311303721252576e-05
64,0.003755655510814196,0.0006647734407095178,8.289716350597338e-05
65,0.003751899855303382,0.0006675014621578157,7.808590107213127e-05
66,0.003748147955448079,0.0006698203269362209,7.328370094945817e-05
67,0.0037443998074926307,0.0006716838872600948,9.220722173815322e-05
68,0.003740655407685138,0.0006691766662463066,8.760920985154264e-05
69,0.003736914752277453,0.0006644867488273209,8.224776027118336e-05
70,0.0037331778375251754,0.0006663694023905743,9.7642545599617e-05
71,0.00372944465968765,0.0006616174727828513,8.06046325998218e-05
72,0.0037257152150279626,0.0006581915144418035,7.244774682370457e-05
73,0.0037219894998129343,0.0006577649262673672,6.943727697661708e-05
74,0.0037182675103131215,0.000655746184319498,7.612902167574187e-05
75,0.0037145492428028084,0.0006555609044528776,7.046842159255796e-05
76,0.0037108346935600055,0.000653334008154249,6.750506406550485e-05
