epoch,learning_rate,train_loss,test_loss
1,0.004,0.10527068173875974,0.024772859093551553
2,0.003996,0.007022553524763891,0.0017666267320797808
3,0.003992004,0.0012313829402027328,0.0007646560330132796
4,0.003988011996,0.0006787034623623597,0.00040194264672535146
5,0.003984023984004,0.0004472820572354938,0.00027384845669979504
6,0.003980039960019996,0.00035035021197240196,0.00024259369710530595
7,0.003976059920059976,0.0002680710446459497,0.0001403673356990169
8,0.003972083860139916,0.00022806463198369247,0.00012222701668676718
9,0.003968111776279776,0.0002017645827939722,8.949123842531153e-05
10,0.003964143664503496,0.00019614526354798077,0.00010152544892953988
11,0.003960179520838993,0.00016642530770036168,9.887246959571837e-05
12,0.003956219341318154,0.0001589606455475994,7.395671259731007e-05
13,0.003952263121976836,0.00014910218745188894,5.934026724549859e-05
14,0.003948310858854859,0.00014655333252372788,8.047195033557144e-05
15,0.003944362547996004,0.0001617505276305757,5.4600541478970364e-05
16,0.003940418185448008,0.00014288367294639043,4.9885498799468574e-05
17,0.00393647776726256,0.00013737941622798502,7.258187907844205e-05
18,0.003932541289495298,0.00014295200739798783,8.651061373671814e-05
19,0.003928608748205802,0.00016548568708675697,4.378354856986483e-05
20,0.003924680139457596,0.00013490538203120387,5.269406131063639e-05
21,0.003920755459318139,0.00014046888902321638,4.016200907685085e-05
22,0.003916834703858821,0.00012690487272102205,7.809260905388619e-05
23,0.003912917869154962,0.00016070112508045122,5.211750857763391e-05
24,0.003909004951285807,0.0001328687521090157,7.767607630224995e-05
25,0.0039050959463345206,0.00012990582371433216,4.067889019995547e-05
26,0.003901190850388186,0.00016090510488952464,6.856630784997558e-05
27,0.0038972896595377985,0.00014463192272911324,8.696626955840982e-05
28,0.0038933923698782607,0.00017981119583867513,0.0001232239482872175
29,0.0038894989775083823,0.0001300924003175001,6.515486554847444e-05
30,0.0038856094785308737,0.00012926794565075315,3.943295306699043e-05
31,0.0038817238690523432,0.00013254025931015172,0.0002182093510713938
32,0.0038778421451832906,0.00014924957632698292,5.124773370028281e-05
33,0.003873964303038107,0.00012519802443367826,4.65272390147506e-05
34,0.003870090338735069,0.0001327373649714128,3.7425704086449254e-05
35,0.003866220248396334,0.00012579061872173547,6.611810397388233e-05
36,0.0038623540281479377,0.00013756484631107305,3.265692329186318e-05
37,0.00385849167411979,0.00013076799427597457,3.410470309641114e-05
38,0.00385463318244567,0.0001327325492942085,5.219889618108582e-05
39,0.0038507785492632243,0.00013137237079523551,7.171157514401887e-05
40,0.003846927770713961,0.00016644226420517967,8.178523132083689e-05
41,0.0038430808429432473,0.00020598171599037492,0.00013180031402163945
42,0.003839237762100304,0.00018891852061787476,3.8172412987707115e-05
43,0.0038353985243382038,0.00015550048635497424,4.166282065372523e-05
44,0.003831563125813865,0.00013082560155598303,4.323507957176947e-05
45,0.003827731562688052,0.0001295985199378772,5.076116181416005e-05
46,0.0038239038311253634,0.00014164211958587225,6.187927931549545e-05
47,0.003820079927294238,0.0001711971319912185,6.295454255427869e-05
48,0.0038162598473669438,0.00014626134504989741,6.232635107450773e-05
49,0.0038124435875195773,0.00013076882344532456,3.899806276576611e-05
50,0.0038086311439320575,0.00015747935249542415,0.0001394450435830967
51,0.0038048225127881256,0.0001730998930183534,0.00022892243486577235
52,0.003801017690275337,0.00017381570151488667,3.13448533331137e-05
53,0.003797216672585062,0.00013577053698626165,9.131109753459598e-05
54,0.0037934194559124767,0.00014136558699343973,6.511372385206837e-05
55,0.0037896260364565643,0.0001467807902158892,3.964130648581308e-05
56,0.0037858364104201075,0.0001663025305679642,0.00018409060288854704
57,0.0037820505740096878,0.0001417921039033476,7.753382808760023e-05
58,0.0037782685234356776,0.00012517470033718292,4.879632250542398e-05
59,0.003774490254912242,0.00012409248312669698,6.595599087912138e-05
60,0.00377071576465733,0.00014443329140479018,4.33751097233247e-05
61,0.0037669450488926727,0.00012610832040600353,2.9377326284490932e-05
62,0.0037631781038437798,0.0002189630031963006,0.00012798244328589604
63,0.0037594149257399365,0.00015862639699340162,0.00020122432541475578
64,0.003755655510814196,0.00014854883052705468,0.00017458258589155644
65,0.003751899855303382,0.00020539282701042652,5.143551919923227e-05
66,0.003748147955448079,0.00013907477194960747,4.454193689033782e-05
67,0.0037443998074926307,0.0001309716787452339,4.031456677431098e-05
68,0.003740655407685138,0.00012983601866509625,6.95403805366368e-05
69,0.003736914752277453,0.0001266291150867166,5.4694047475833325e-05
70,0.0037331778375251754,0.00012198649828841585,4.489118580738633e-05
71,0.00372944465968765,0.00013251860271975793,6.225236688377028e-05
72,0.0037257152150279626,0.0001171724971016992,6.274632641803268e-05
73,0.0037219894998129343,0.00012365275414551234,3.866408204536449e-05
74,0.0037182675103131215,0.00013383498967042392,5.700710673134484e-05
75,0.0037145492428028084,0.0001304386611573937,4.356930180019501e-05
76,0.0037108346935600055,0.0001241693293504452,6.737757484132707e-05
77,0.003707123858866446,0.00021323281197771585,0.0002334314401579271
78,0.0037034167350075793,0.00015078358303616897,3.531150422011408e-05
79,0.0036997133182725714,0.0001264068397373133,3.503159948921841e-05
80,0.003696013604954299,0.00011370900617639068,2.980841213255464e-05
81,0.0036923175913493446,0.00012939306411614439,3.3589263951415764e-05
82,0.0036886252737579955,0.00013907088555099805,7.787445097365094e-05
83,0.0036849366484842374,0.00013307630860801215,0.0001670840604927709
84,0.003681251711835753,0.00012079090841819359,0.00016881868438341262
85,0.0036775704601239175,0.00021574895316320012,8.953237511091661e-05
86,0.0036738928896637934,0.00013148575097498674,3.506189935382876e-05
87,0.0036702189967741296,0.000121685593083659,4.512302400355752e-05
88,0.0036665487777773555,0.0001383731989175339,3.354044579654151e-05
89,0.003662882228999578,0.00011234409113578592,3.4694962978506544e-05
90,0.003659219346770579,0.00015859276553434348,0.00018026328151613625
91,0.003655560127423808,0.0001347161101357205,3.767468309739777e-05
92,0.003651904567296384,0.00013729582410852427,0.00011264364661227139
93,0.003648252662729088,0.00014151297263477477,0.00017701053611001398
94,0.003644604410066359,0.00012169430836907293,2.4300340312678964e-05
95,0.0036409598056562926,0.00010529541617893444,3.24843473300124e-05
96,0.003637318845850636,0.00011523581676519978,3.47923131806702e-05
97,0.0036336815270047854,0.00011967687530599758,3.11372923569532e-05
98,0.0036300478454777806,0.0001292469048168729,4.9479138145461946e-05
99,0.003626417797632303,0.00026257870582408767,0.0001751335080399664
100,0.003622791379834671,0.00014720341181909702,3.6847158293049405e-05
101,0.003619168588454836,0.00012902456640917026,1.9790023082997043e-05
102,0.003615549419866381,0.00010283549306892246,3.6282928326641615e-05
103,0.0036119338704465147,0.00010704492949194859,2.132847756019026e-05
104,0.003608321936576068,0.00010781182282246977,2.691860077879794e-05
105,0.003604713614639492,0.00010025422966797921,4.454135863475045e-05
106,0.0036011089010248524,0.00011479598196993135,3.606079020034983e-05
107,0.0035975077921238277,0.0001012360533983476,2.642379059814504e-05
108,0.0035939102843317037,0.00011964538319202811,2.3775623636744434e-05
109,0.003590316374047372,0.00010557688696532505,5.088717420988148e-05
110,0.003586726057673325,0.0001263350896430895,6.875290914106259e-05
111,0.0035831393316156515,0.0001114142500803722,8.025222567359276e-05
112,0.003579556192284036,0.00011115285363053197,4.538617630823407e-05
113,0.0035759766360917516,0.00010218729357897994,2.5859248446965848e-05
114,0.00357240065945566,0.00010712446271006479,2.1017106632110733e-05
115,0.0035688282587962045,0.00011295484938679274,3.8193253596900774e-05
116,0.003565259430537408,0.00011024766086539219,0.0001987258881671316
117,0.0035616941711068707,0.00013157426205364132,2.272356052813596e-05
