0,0,0
-0.00278176,1,0.957858
-0.0105637,2,1.91576
-0.0133451,3,2.87364
-0.0261274,4,3.83163
-0.0339088,5,4.78962
-0.0535589,6,5.74882
-0.083209,7,6.70824
-0.10786,8,7.66766
-0.127511,9,8.62719
-0.157162,10,9.58694
-0.195646,11,10.55109
-0.229139,12,11.5148
-0.272623,13,12.4795
-0.311116,14,13.4442
-0.3446,15,14.4089
-0.403906,16,15.378
-0.458221,17,16.346
-0.507527,18,17.3151
-0.566833,19,18.2842
-0.621139,20,19.2533
-0.681695,21,20.229
-0.752251,22,21.2058
-0.817807,23,22.1815
-0.878354,24,23.1583
-0.94891,25,24.1351
-1.02802,26,25.1174
-1.10222,27,26.0997
-1.18633,28,27.082
-1.26544,29,28.0643
-1.33964,30,29.0477
-1.43563,31,30.0366
-1.52671,32,31.0244
-1.6127,33,32.0133
-1.70878,34,33.0033
-1.79977,35,33.9922
-1.89746,36,34.9877
-2.00506,37,35.9821
-2.10766,38,36.9787
-2.20526,39,37.9742
-2.31286,40,38.9708
-2.43049,41,39.9685
-2.54312,42,40.9684
-2.66575,43,41.9672
-2.78338,44,42.9671
-2.89592,45,43.967
-3.0271,46,44.9713
-3.15328,47,45.9767
-3.27446,48,46.9821
-3.40564,49,47.9875
-3.53182,50,48.994
-3.66461,51,50.0005
-3.80749,52,51.0081
-3.94528,53,52.0157
-4.07816,54,53.0233
-4.22095,55,54.032
-4.369,56,55.044
-4.51079,57,56.056
-4.65511,58,57.0669
-4.79443,59,58.0789
-4.92875,60,59.0909
-5.08432,61,60.1029
-5.2348,62,61.1149
-5.38028,63,62.128
-5.53576,64,63.1411
-5.68633,65,64.1553
-5.83451,66,65.1717
-5.99269,67,66.1881
-6.14587,68,67.2056
-6.29405,69,68.2242
-6.45223,70,69.2428
-6.61765,71,70.2603
-6.77807,72,71.2789
-6.94849,73,72.2975
-7.11382,74,73.3172
-7.27424,75,74.3369
-7.45114,76,75.3599
-7.62304,77,76.384
-7.78994,78,77.407
-7.96684,79,78.4322
-8.13874,80,79.4574
-8.32634,81,80.4826
-8.52403,82,81.5078
-8.71663,83,82.5341
-8.90423,84,83.5615
-9.0994,85,84.5878
-9.2848,86,85.6141
-9.4652,87,86.6415
-9.6547,88,87.6689
-9.8401,89,88.6974
-10.0205,90,89.7259
-10.2352,91,90.7555
-10.4458,92,91.7862
-10.6505,93,92.8169
-10.8652,94,93.8487
-11.0758,95,94.8816
-11.285,96,95.9145
-11.5042,97,96.9485
-11.7184,98,97.9825
-11.9285,99,99.0176
-12.1477,100,100.0538
-12.3772,101,101.0889
-12.6026,102,102.1251
-12.838,103,103.1624
-13.0684,104,104.1997
-13.2929,105,105.2381
-13.5418,106,106.2787
-13.7812,107,107.316
-14.0156,108,108.3544
-14.2591,109,109.3939
-14.4985,110,110.44
-14.7635,111,111.474
-15.0394,112,112.519
-15.3094,113,113.564
-15.5744,114,114.609
-15.8494,115,115.654
-16.1014,116,116.699
-16.3484,117,117.733
-16.6054,118,118.778
-16.8565,119,119.823
-17.1035,120,120.868
-17.3974,121,121.913
-17.6872,122,122.969
-17.9711,123,124.014
-18.2614,124,125.059
-18.5467,125,126.104
-18.8387,126,127.149
-19.1416,127,128.205
-19.4386,128,129.25
-19.7315,129,130.306
-20.0344,130,131.351
-20.3557,131,132.407
-20.6729,132,133.452
-21.0001,133,134.508
-21.3214,134,135.564
-21.6386,135,136.62
-21.9514,136,137.676
-22.2583,137,138.721
-22.5611,138,139.777
-22.8739,139,140.822
-23.1817,140,141.867
-23.5205,141,142.923
-23.8684,142,143.979
-24.2122,143,145.035
-24.5501,144,146.091
-24.8989,145,147.147
-25.2256,146,148.192
-25.5464,147,149.248
-25.8781,148,150.293
-26.2039,149,151.349
-26.5256,150,152.405
-26.9149,151,153.461
-27.2947,152,154.517
-27.6686,153,155.584
-28.0516,154,156.64
-28.4305,155,157.707
-28.79,156,158.763
-29.1604,157,159.808
